'all',70652
'frontal',14260
'parietal',8873
'temporal',3553
'occipital',1900
'limbic',1013
'fusiform(notlobe)',287
'insula',258
'paracentral(notlobe)',142
'basalganglia',36
'thalamus',3
'brainstem',1
